areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-01-01,28216,2321444
nation,England,E92000001,2020-12-31,46708,2293228
nation,England,E92000001,2020-12-30,62921,2246520
nation,England,E92000001,2020-12-29,72533,2183599
nation,England,E92000001,2020-12-28,40038,2111066
nation,England,E92000001,2020-12-27,42455,2071028
nation,England,E92000001,2020-12-26,36691,2028573
nation,England,E92000001,2020-12-25,12672,1991882
nation,England,E92000001,2020-12-24,28726,1979210
nation,England,E92000001,2020-12-23,37701,1950484
nation,England,E92000001,2020-12-22,40918,1912783
nation,England,E92000001,2020-12-21,42608,1871865
nation,England,E92000001,2020-12-20,28954,1829257
nation,England,E92000001,2020-12-19,21739,1800303
nation,England,E92000001,2020-12-18,31838,1778564
nation,England,E92000001,2020-12-17,29601,1746726
nation,England,E92000001,2020-12-16,30121,1717125
nation,England,E92000001,2020-12-15,29102,1687004
nation,England,E92000001,2020-12-14,29522,1657902
nation,England,E92000001,2020-12-13,18127,1628380
nation,England,E92000001,2020-12-12,16031,1610253
nation,England,E92000001,2020-12-11,19880,1594222
nation,England,E92000001,2020-12-10,18565,1574342
nation,England,E92000001,2020-12-09,17495,1555777
nation,England,E92000001,2020-12-08,16683,1538282
nation,England,E92000001,2020-12-07,17412,1521599
nation,England,E92000001,2020-12-06,10898,1504187
nation,England,E92000001,2020-12-05,10182,1493289
nation,England,E92000001,2020-12-04,12902,1483107
nation,England,E92000001,2020-12-03,12539,1470205
nation,England,E92000001,2020-12-02,13445,1457666
nation,England,E92000001,2020-12-01,13521,1444221
nation,England,E92000001,2020-11-30,15048,1430700
nation,England,E92000001,2020-11-29,8914,1415652
nation,England,E92000001,2020-11-28,9198,1406738
nation,England,E92000001,2020-11-27,12280,1397540
nation,England,E92000001,2020-11-26,12270,1385260
nation,England,E92000001,2020-11-25,13926,1372990
nation,England,E92000001,2020-11-24,14036,1359064
nation,England,E92000001,2020-11-23,16203,1345028
nation,England,E92000001,2020-11-22,10040,1328825
nation,England,E92000001,2020-11-21,10615,1318785
nation,England,E92000001,2020-11-20,14687,1308170
nation,England,E92000001,2020-11-19,15504,1293483
nation,England,E92000001,2020-11-18,18230,1277979
nation,England,E92000001,2020-11-17,20346,1259749
nation,England,E92000001,2020-11-16,23726,1239403
nation,England,E92000001,2020-11-15,14224,1215677
nation,England,E92000001,2020-11-14,16032,1201453
nation,England,E92000001,2020-11-13,21655,1185421
nation,England,E92000001,2020-11-12,21953,1163766
nation,England,E92000001,2020-11-11,24647,1141813
nation,England,E92000001,2020-11-10,24481,1117166
nation,England,E92000001,2020-11-09,28103,1092685
nation,England,E92000001,2020-11-08,17965,1064582
nation,England,E92000001,2020-11-07,16622,1046617
nation,England,E92000001,2020-11-06,20827,1029995
nation,England,E92000001,2020-11-05,20873,1009168
nation,England,E92000001,2020-11-04,20691,988295
nation,England,E92000001,2020-11-03,22316,967604
nation,England,E92000001,2020-11-02,27929,945288
nation,England,E92000001,2020-11-01,13367,917359
nation,England,E92000001,2020-10-31,14356,903992
nation,England,E92000001,2020-10-30,19645,889636
nation,England,E92000001,2020-10-29,19985,869991
nation,England,E92000001,2020-10-28,20241,850006
nation,England,E92000001,2020-10-27,20501,829765
nation,England,E92000001,2020-10-26,22766,809264
nation,England,E92000001,2020-10-25,13166,786498
nation,England,E92000001,2020-10-24,13518,773332
nation,England,E92000001,2020-10-23,18120,759814
nation,England,E92000001,2020-10-22,19614,741694
nation,England,E92000001,2020-10-21,21504,722080
nation,England,E92000001,2020-10-20,21340,700576
nation,England,E92000001,2020-10-19,22116,679236
nation,England,E92000001,2020-10-18,11855,657120
nation,England,E92000001,2020-10-17,12361,645265
nation,England,E92000001,2020-10-16,14558,632904
nation,England,E92000001,2020-10-15,15246,618346
nation,England,E92000001,2020-10-14,16455,603100
nation,England,E92000001,2020-10-13,15452,586645
nation,England,E92000001,2020-10-12,16201,571193
nation,England,E92000001,2020-10-11,9660,554992
nation,England,E92000001,2020-10-10,10156,545332
nation,England,E92000001,2020-10-09,13014,535176
nation,England,E92000001,2020-10-08,15265,522162
nation,England,E92000001,2020-10-07,15206,506897
nation,England,E92000001,2020-10-06,14297,491691
nation,England,E92000001,2020-10-05,14039,477394
nation,England,E92000001,2020-10-04,9830,463355
nation,England,E92000001,2020-10-03,9704,453525
nation,England,E92000001,2020-10-02,11579,443821
nation,England,E92000001,2020-10-01,11303,432242
nation,England,E92000001,2020-09-30,10519,420939
nation,England,E92000001,2020-09-29,8722,410420
nation,England,E92000001,2020-09-28,8582,401698
nation,England,E92000001,2020-09-27,6026,393116
nation,England,E92000001,2020-09-26,5655,387090
nation,England,E92000001,2020-09-25,6048,381435
nation,England,E92000001,2020-09-24,6292,375387
nation,England,E92000001,2020-09-23,5894,369095
nation,England,E92000001,2020-09-22,5365,363201
nation,England,E92000001,2020-09-21,4701,357836
nation,England,E92000001,2020-09-20,4626,353135
nation,England,E92000001,2020-09-19,4179,348509
nation,England,E92000001,2020-09-18,4274,344330
nation,England,E92000001,2020-09-17,3940,340056
nation,England,E92000001,2020-09-16,3753,336116
nation,England,E92000001,2020-09-15,3042,332363
nation,England,E92000001,2020-09-14,2901,329321
nation,England,E92000001,2020-09-13,1712,326420
nation,England,E92000001,2020-09-12,2213,324708
nation,England,E92000001,2020-09-11,2856,322495
nation,England,E92000001,2020-09-10,3102,319639
nation,England,E92000001,2020-09-09,2852,316537
nation,England,E92000001,2020-09-08,3004,313685
nation,England,E92000001,2020-09-07,3465,310681
nation,England,E92000001,2020-09-06,2061,307216
nation,England,E92000001,2020-09-05,2190,305155
nation,England,E92000001,2020-09-04,2592,302965
nation,England,E92000001,2020-09-03,2666,300373
nation,England,E92000001,2020-09-02,2618,297707
nation,England,E92000001,2020-09-01,1927,295089
nation,England,E92000001,2020-08-31,1259,293162
nation,England,E92000001,2020-08-30,977,291903
nation,England,E92000001,2020-08-29,1040,290926
nation,England,E92000001,2020-08-28,1381,289886
nation,England,E92000001,2020-08-27,1325,288505
nation,England,E92000001,2020-08-26,1137,287180
nation,England,E92000001,2020-08-25,1059,286043
nation,England,E92000001,2020-08-24,1130,284984
nation,England,E92000001,2020-08-23,696,283854
nation,England,E92000001,2020-08-22,714,283158
nation,England,E92000001,2020-08-21,1005,282444
nation,England,E92000001,2020-08-20,1221,281439
nation,England,E92000001,2020-08-19,1072,280218
nation,England,E92000001,2020-08-18,925,279146
nation,England,E92000001,2020-08-17,1136,278221
nation,England,E92000001,2020-08-16,529,277085
nation,England,E92000001,2020-08-15,642,276556
nation,England,E92000001,2020-08-14,1036,275914
nation,England,E92000001,2020-08-13,1018,274878
nation,England,E92000001,2020-08-12,1095,273860
nation,England,E92000001,2020-08-11,1211,272765
nation,England,E92000001,2020-08-10,1352,271554
nation,England,E92000001,2020-08-09,557,270202
nation,England,E92000001,2020-08-08,636,269645
nation,England,E92000001,2020-08-07,864,269009
nation,England,E92000001,2020-08-06,979,268145
nation,England,E92000001,2020-08-05,941,267166
nation,England,E92000001,2020-08-04,918,266225
nation,England,E92000001,2020-08-03,938,265307
nation,England,E92000001,2020-08-02,512,264369
nation,England,E92000001,2020-08-01,493,263857
nation,England,E92000001,2020-07-31,624,263364
nation,England,E92000001,2020-07-30,855,262740
nation,England,E92000001,2020-07-29,972,261885
nation,England,E92000001,2020-07-28,780,260913
nation,England,E92000001,2020-07-27,810,260133
nation,England,E92000001,2020-07-26,515,259323
nation,England,E92000001,2020-07-25,491,258808
nation,England,E92000001,2020-07-24,713,258317
nation,England,E92000001,2020-07-23,732,257604
nation,England,E92000001,2020-07-22,750,256872
nation,England,E92000001,2020-07-21,690,256122
nation,England,E92000001,2020-07-20,754,255432
nation,England,E92000001,2020-07-19,414,254678
nation,England,E92000001,2020-07-18,468,254264
nation,England,E92000001,2020-07-17,547,253796
nation,England,E92000001,2020-07-16,639,253249
nation,England,E92000001,2020-07-15,724,252610
nation,England,E92000001,2020-07-14,653,251886
nation,England,E92000001,2020-07-13,690,251233
nation,England,E92000001,2020-07-12,352,250543
nation,England,E92000001,2020-07-11,419,250191
nation,England,E92000001,2020-07-10,518,249772
nation,England,E92000001,2020-07-09,680,249254
nation,England,E92000001,2020-07-08,674,248574
nation,England,E92000001,2020-07-07,558,247900
nation,England,E92000001,2020-07-06,657,247342
nation,England,E92000001,2020-07-05,539,246685
nation,England,E92000001,2020-07-04,382,246146
nation,England,E92000001,2020-07-03,536,245764
nation,England,E92000001,2020-07-02,558,245228
nation,England,E92000001,2020-07-01,605,244670
nation,England,E92000001,2020-06-30,572,244065
nation,England,E92000001,2020-06-29,665,243493
nation,England,E92000001,2020-06-28,411,242828
nation,England,E92000001,2020-06-27,503,242417
nation,England,E92000001,2020-06-26,643,241914
nation,England,E92000001,2020-06-25,639,241271
nation,England,E92000001,2020-06-24,729,240632
nation,England,E92000001,2020-06-23,729,239903
nation,England,E92000001,2020-06-22,812,239174
nation,England,E92000001,2020-06-21,551,238362
nation,England,E92000001,2020-06-20,626,237811
nation,England,E92000001,2020-06-19,808,237185
nation,England,E92000001,2020-06-18,945,236377
nation,England,E92000001,2020-06-17,911,235432
nation,England,E92000001,2020-06-16,993,234521
nation,England,E92000001,2020-06-15,941,233528
nation,England,E92000001,2020-06-14,745,232587
nation,England,E92000001,2020-06-13,784,231842
nation,England,E92000001,2020-06-12,938,231058
nation,England,E92000001,2020-06-11,916,230120
nation,England,E92000001,2020-06-10,1081,229204
nation,England,E92000001,2020-06-09,1059,228123
nation,England,E92000001,2020-06-08,988,227064
nation,England,E92000001,2020-06-07,663,226076
nation,England,E92000001,2020-06-06,722,225413
nation,England,E92000001,2020-06-05,1020,224691
nation,England,E92000001,2020-06-04,1146,223671
nation,England,E92000001,2020-06-03,1242,222525
nation,England,E92000001,2020-06-02,1352,221283
nation,England,E92000001,2020-06-01,1312,219931
nation,England,E92000001,2020-05-31,987,218619
nation,England,E92000001,2020-05-30,998,217632
nation,England,E92000001,2020-05-29,1372,216634
nation,England,E92000001,2020-05-28,1572,215262
nation,England,E92000001,2020-05-27,1613,213690
nation,England,E92000001,2020-05-26,1456,212077
nation,England,E92000001,2020-05-25,1381,210621
nation,England,E92000001,2020-05-24,1198,209240
nation,England,E92000001,2020-05-23,1302,208042
nation,England,E92000001,2020-05-22,1795,206740
nation,England,E92000001,2020-05-21,2275,204945
nation,England,E92000001,2020-05-20,2345,202670
nation,England,E92000001,2020-05-19,2588,200325
nation,England,E92000001,2020-05-18,2213,197737
nation,England,E92000001,2020-05-17,1588,195524
nation,England,E92000001,2020-05-16,1771,193936
nation,England,E92000001,2020-05-15,2134,192165
nation,England,E92000001,2020-05-14,2211,190031
nation,England,E92000001,2020-05-13,2883,187820
nation,England,E92000001,2020-05-12,2922,184937
nation,England,E92000001,2020-05-11,3062,182015
nation,England,E92000001,2020-05-10,2005,178953
nation,England,E92000001,2020-05-09,1795,176948
nation,England,E92000001,2020-05-08,2618,175153
nation,England,E92000001,2020-05-07,3205,172535
nation,England,E92000001,2020-05-06,3264,169330
nation,England,E92000001,2020-05-05,3135,166066
nation,England,E92000001,2020-05-04,2842,162931
nation,England,E92000001,2020-05-03,2630,160089
nation,England,E92000001,2020-05-02,2749,157459
nation,England,E92000001,2020-05-01,4091,154710
nation,England,E92000001,2020-04-30,4311,150619
nation,England,E92000001,2020-04-29,4730,146308
nation,England,E92000001,2020-04-28,4117,141578
nation,England,E92000001,2020-04-27,4028,137461
nation,England,E92000001,2020-04-26,3135,133433
nation,England,E92000001,2020-04-25,3372,130298
nation,England,E92000001,2020-04-24,4349,126926
nation,England,E92000001,2020-04-23,4561,122577
nation,England,E92000001,2020-04-22,4808,118016
nation,England,E92000001,2020-04-21,3974,113208
nation,England,E92000001,2020-04-20,3687,109234
nation,England,E92000001,2020-04-19,3478,105547
nation,England,E92000001,2020-04-18,4116,102069
nation,England,E92000001,2020-04-17,4072,97953
nation,England,E92000001,2020-04-16,4357,93881
nation,England,E92000001,2020-04-15,4210,89524
nation,England,E92000001,2020-04-14,3547,85314
nation,England,E92000001,2020-04-13,3432,81767
nation,England,E92000001,2020-04-12,2944,78335
nation,England,E92000001,2020-04-11,3066,75391
nation,England,E92000001,2020-04-10,3582,72325
nation,England,E92000001,2020-04-09,4058,68743
nation,England,E92000001,2020-04-08,4292,64685
nation,England,E92000001,2020-04-07,4570,60393
nation,England,E92000001,2020-04-06,4377,55823
nation,England,E92000001,2020-04-05,3082,51446
nation,England,E92000001,2020-04-04,3385,48364
nation,England,E92000001,2020-04-03,4080,44979
nation,England,E92000001,2020-04-02,4067,40899
nation,England,E92000001,2020-04-01,4125,36832
nation,England,E92000001,2020-03-31,3776,32707
nation,England,E92000001,2020-03-30,3515,28931
nation,England,E92000001,2020-03-29,2440,25416
nation,England,E92000001,2020-03-28,2369,22976
nation,England,E92000001,2020-03-27,2652,20607
nation,England,E92000001,2020-03-26,2615,17955
nation,England,E92000001,2020-03-25,2260,15340
nation,England,E92000001,2020-03-24,2028,13080
nation,England,E92000001,2020-03-23,2015,11052
nation,England,E92000001,2020-03-22,1208,9037
nation,England,E92000001,2020-03-21,1033,7829
nation,England,E92000001,2020-03-20,1081,6796
nation,England,E92000001,2020-03-19,929,5715
nation,England,E92000001,2020-03-18,908,4786
nation,England,E92000001,2020-03-17,680,3878
nation,England,E92000001,2020-03-16,545,3198
nation,England,E92000001,2020-03-15,396,2653
nation,England,E92000001,2020-03-14,315,2257
nation,England,E92000001,2020-03-13,392,1942
nation,England,E92000001,2020-03-12,414,1550
nation,England,E92000001,2020-03-11,353,1136
nation,England,E92000001,2020-03-10,227,783
nation,England,E92000001,2020-03-09,125,556
nation,England,E92000001,2020-03-08,50,431
nation,England,E92000001,2020-03-07,55,381
nation,England,E92000001,2020-03-06,73,326
nation,England,E92000001,2020-03-05,46,253
nation,England,E92000001,2020-03-04,49,207
nation,England,E92000001,2020-03-03,54,158
nation,England,E92000001,2020-03-02,38,104
nation,England,E92000001,2020-03-01,20,66
nation,England,E92000001,2020-02-29,5,46
nation,England,E92000001,2020-02-28,11,41
nation,England,E92000001,2020-02-27,7,30
nation,England,E92000001,2020-02-26,4,23
nation,England,E92000001,2020-02-25,5,19
nation,England,E92000001,2020-02-24,2,14
nation,England,E92000001,2020-02-23,1,12
nation,England,E92000001,2020-02-22,0,11
nation,England,E92000001,2020-02-21,1,11
nation,England,E92000001,2020-02-20,0,10
nation,England,E92000001,2020-02-19,0,10
nation,England,E92000001,2020-02-18,0,10
nation,England,E92000001,2020-02-17,1,10
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,0,9
nation,England,E92000001,2020-02-12,0,9
nation,England,E92000001,2020-02-11,1,9
nation,England,E92000001,2020-02-10,0,8
nation,England,E92000001,2020-02-09,1,8
nation,England,E92000001,2020-02-08,4,7
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,0,3
nation,England,E92000001,2020-02-05,1,3
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,0,2
nation,England,E92000001,2020-01-30,2,2
